id,isimler,cinsiyet
1290,Azze,K
1291,Bacı,K
1292,Bade,K
1293,Badegül,K
1294,Badiye,K
1295,Bağatur,E
1296,Bağdaç,E
1297,Bağdagül,K
1298,Bağdaş,E
1299,Bağır,E
1300,Bağış,E
1301,Bağışhan,E
1302,Bağlan,K
1303,Baha,E
1304,Bahadır,E
1305,Bahadırhan,E
1306,Bahai,E
1307,Bahar,K
1308,Bahattin,E
1309,Bahir,E
1310,Bahise,K
1311,Bahri,E
1312,Bahriye,K
1313,Bahşı,E
1314,Bahtınur,K
1315,Bahtıser,K
1316,Bahtışen,K
1317,Bahti,E
1318,Bahtiyar,U
1319,Bakanay,U
1320,Bakır,E
1321,Bakırhan,E
1322,Baki,E
1323,Bakinaz,K
1324,Bakiye,K
1325,Baksı,E
1326,Bala,E
1327,Balâ,E
1328,Balâbey,E
1329,Balaman,E
1330,Balamir,E
1331,Balatekin,E
1332,Balatürk,E
1333,Balaz,E
1334,Balbal,E
1335,Balbay,E
1336,Balbey,E
1337,Balca,K
1338,Balcan,E
1339,Baldan,K
1340,Baldemir,E
1341,Baler,E
1342,Balhan,E
1343,Balı,E
1344,Balıbaş,E
1345,Balıbey,E
1346,Balım,U
1347,Balın,K
1348,Balibey,E
1349,Balk,E
1350,Balkan,E
1351,Balkı,U
1352,Balkın,K
1353,Balkır,U
1354,Balkış,E
1355,Balkız,K
1356,Balkoç,E
1357,Ballı,K
1358,Balsan,E
1359,Balsarı,K
1360,Balşeker,K
1361,Baltaş,E
1362,Bandak,E
1363,Bangu,E
1364,Banu,K
1365,Banuhan,K
1366,Barak,E
1367,Baran,E
1368,Baranalp,E
1369,Baranbilge,E
1370,Baransel,E
1371,Baray,E
1372,Barbaros,E
1373,Barça,E
1374,Barçak,E
1375,Barçın,U
1376,Barım,E
1377,Barın,E
1378,Barış,U
1379,Barışcan,E
1380,Baria,K
1381,Barik,E
1382,Barika,K
1383,Bariz,E
1384,Barkan,E
1385,Barkın,U
1386,Barlas,E
1387,Barlık,E
1388,Bars,E
1389,Barsbay,E
1390,Barsbey,E
1391,Bartu,E
1392,Basa,E
1393,Basak,E
1394,Basım,E
1395,Basıra,K
1396,Basir,E
1397,Basiret,K
1398,Baskak,E
1399,Baskan,E
1400,Baskın,E
1401,Basri,E
1402,Basriye,K
1403,Basut,E
1404,Başağa,E
